x,y
136.000000,2.474331
137.000000,2.342855
138.000000,2.217477
139.000000,2.097970
140.000000,1.984109
141.000000,1.875678
142.000000,1.772463
143.000000,1.674258
144.000000,1.580862
145.000000,1.492079
146.000000,1.407718
147.000000,1.327597
148.000000,1.251534
149.000000,1.179358
150.000000,1.110900
151.000000,1.045997
152.000000,0.984492
153.000000,0.926233
154.000000,0.871073
155.000000,0.818870
156.000000,0.769488
157.000000,0.722795
158.000000,0.678664
159.000000,0.636972
160.000000,0.597602
161.000000,0.560442
162.000000,0.525382
163.000000,0.492318
164.000000,0.461151
165.000000,0.431784
166.000000,0.404125
167.000000,0.378087
168.000000,0.353586
169.000000,0.330539
170.000000,0.308872
171.000000,0.288509
172.000000,0.269381
173.000000,0.251420
174.000000,0.234563
175.000000,0.218749
176.000000,0.203920
177.000000,0.190019
178.000000,0.176996
179.000000,0.164799
180.000000,0.153381
181.000000,0.142697
182.000000,0.132705
183.000000,0.123362
184.000000,0.114632
185.000000,0.106477
186.000000,0.098862
187.000000,0.091755
188.000000,0.085125
189.000000,0.078943
190.000000,0.073180
191.000000,0.067811
192.000000,0.062811
193.000000,0.058156
194.000000,0.053824
195.000000,0.049796
196.000000,0.046050
197.000000,0.042569
198.000000,0.039335
199.000000,0.036333
